"severity","tornado","wind","hail","state_count","nj","pa","year","month","day","calls"
3,"0","140","91",21,TRUE,TRUE,"2017","05","31",428
3,"0","98","39",15,FALSE,TRUE,"2017","05","28",285
4,"25","121","88",15,FALSE,TRUE,"2017","05","19",450
6,"20","278","209",21,FALSE,TRUE,"2017","05","18",468
2,"0","16","7",5,TRUE,FALSE,"2017","05","14",340
4,"0","279","3",8,FALSE,TRUE,"2017","05","01",344
4,"15","191","9",10,FALSE,TRUE,"2017","04","30",283
3,"10","7","4",7,FALSE,TRUE,"2017","04","27",377
4,"4","112","2",11,TRUE,TRUE,"2017","04","06",437
5,"3","535","102",17,TRUE,TRUE,"2017","03","01",372
3,"0","1","20",5,FALSE,TRUE,"2017","02","27",364
3,"0","125","65",7,TRUE,TRUE,"2017","02","25",405
1,"0","72","0",5,FALSE,TRUE,"2017","02","12",248
2,"0","12","0",2,FALSE,TRUE,"2017","01","12",434
2,"0","32","2",4,FALSE,TRUE,"2016","10","30",437
3,"0","23","8",5,FALSE,TRUE,"2016","10","20",390
3,"9","39","31",8,FALSE,TRUE,"2016","09","17",379
2,"0","9","13",8,TRUE,FALSE,"2016","09","14",401
3,"0","128","0",9,FALSE,TRUE,"2016","09","10",349
2,"0","27","8",6,FALSE,TRUE,"2016","09","08",417
3,"5","92","18",18,FALSE,TRUE,"2016","08","28",340
3,"2","104","14",16,FALSE,TRUE,"2016","08","17",415
3,"0","91","19",16,FALSE,TRUE,"2016","08","16",419
3,"0","135","6",15,TRUE,TRUE,"2016","08","13",393
3,"2","105","9",14,FALSE,TRUE,"2016","08","11",449
4,"1","137","68",18,FALSE,TRUE,"2016","07","28",443
4,"0","128","7",12,TRUE,TRUE,"2016","07","25",580
3,"0","71","13",16,FALSE,TRUE,"2016","07","24",329
4,"3","199","15",22,TRUE,TRUE,"2016","07","23",422
4,"4","150","45",26,FALSE,TRUE,"2016","07","22",366
3,"1","285","46",27,TRUE,TRUE,"2016","07","18",405
4,"2","174","54",18,TRUE,TRUE,"2016","07","16",343
4,"6","189","35",26,FALSE,TRUE,"2016","07","15",393
3,"0","345","68",31,TRUE,TRUE,"2016","07","14",435
3,"0","536","39",22,FALSE,TRUE,"2016","07","13",481
3,"1","131","57",17,TRUE,TRUE,"2016","07","09",279
4,"0","473","88",20,TRUE,FALSE,"2016","07","08",444
5,"3","188","57",21,TRUE,TRUE,"2016","06","28",415
4,"4","104","68",13,TRUE,TRUE,"2016","06","21",418
3,"2","106","29",12,FALSE,TRUE,"2016","06","20",356
4,"0","342","65",15,FALSE,TRUE,"2016","06","16",391
3,"0","89","20",13,TRUE,TRUE,"2016","06","08",467
4,"1","201","9",18,TRUE,TRUE,"2016","06","05",307
3,"2","51","131",14,FALSE,TRUE,"2016","05","01",140
2,"0","47","0",6,TRUE,TRUE,"2016","04","07",396
3,"3","45","3",9,TRUE,FALSE,"2016","04","01",456
5,"19","397","44",16,TRUE,TRUE,"2016","02","24",679
2,"12","52","0",6,TRUE,TRUE,"2016","02","16",560
3,"0","89","20",13,TRUE,TRUE,"2016","01","12",467
